Vivado Simulator v2020.2.2
Time resolution is 1 ps
Time =                    0 ns, State = 0, IR_OUT = x
Time =           2201076000 ns, State = 4, IR_OUT = 1
Time =           2201084000 ns, State = 4, IR_OUT = 0
Time =           2301084000 ns, State = 3, IR_OUT = 0
Time =           2301604000 ns, State = 3, IR_OUT = 1
Time =           2314756000 ns, State = 3, IR_OUT = 0
Time =           2327908000 ns, State = 3, IR_OUT = 1
Time =           2341060000 ns, State = 3, IR_OUT = 0
Time =           2354212000 ns, State = 3, IR_OUT = 1
Time =           2367364000 ns, State = 3, IR_OUT = 0
Time =           2380516000 ns, State = 3, IR_OUT = 1
Time =           2393668000 ns, State = 3, IR_OUT = 0
Time =           2401092000 ns, State = 4, IR_OUT = 0
Time =           2601100000 ns, State = 3, IR_OUT = 0
Time =           2601116000 ns, State = 3, IR_OUT = 1
Time =           2604100000 ns, State = 3, IR_OUT = 0
Time =           2617252000 ns, State = 3, IR_OUT = 1
Time =           2630404000 ns, State = 3, IR_OUT = 0
Time =           2643556000 ns, State = 3, IR_OUT = 1
Time =           2656708000 ns, State = 3, IR_OUT = 0
Time =           2669860000 ns, State = 3, IR_OUT = 1
Time =           2683012000 ns, State = 3, IR_OUT = 0
Time =           2696164000 ns, State = 3, IR_OUT = 1
Time =           2701108000 ns, State = 4, IR_OUT = 1
Time =           2701116000 ns, State = 4, IR_OUT = 0
Time =           2901116000 ns, State = 3, IR_OUT = 0
Time =           2906596000 ns, State = 3, IR_OUT = 1
Time =           2919748000 ns, State = 3, IR_OUT = 0
Time =           2932900000 ns, State = 3, IR_OUT = 1
Time =           2946052000 ns, State = 3, IR_OUT = 0
Time =           2959204000 ns, State = 3, IR_OUT = 1
Time =           2972356000 ns, State = 3, IR_OUT = 0
Time =           2985508000 ns, State = 3, IR_OUT = 1
Time =           2998660000 ns, State = 3, IR_OUT = 0
Time =           3001124000 ns, State = 4, IR_OUT = 0
Time =           3201132000 ns, State = 3, IR_OUT = 0
Time =           3201148000 ns, State = 3, IR_OUT = 1
Time =           3209092000 ns, State = 3, IR_OUT = 0
Time =           3222244000 ns, State = 3, IR_OUT = 1
Time =           3235396000 ns, State = 3, IR_OUT = 0
Time =           3248548000 ns, State = 3, IR_OUT = 1
Time =           3261700000 ns, State = 3, IR_OUT = 0
Time =           3274852000 ns, State = 3, IR_OUT = 1
Time =           3288004000 ns, State = 3, IR_OUT = 0
Time =           3301140000 ns, State = 4, IR_OUT = 0
Time =           3501148000 ns, State = 5, IR_OUT = 0
Time =           3511588000 ns, State = 5, IR_OUT = 1
Time =           3524740000 ns, State = 5, IR_OUT = 0
Time =           3537892000 ns, State = 5, IR_OUT = 1
Time =           3551044000 ns, State = 5, IR_OUT = 0
Time =           3564196000 ns, State = 5, IR_OUT = 1
Time =           3577348000 ns, State = 5, IR_OUT = 0
