Vivado Simulator 2020.2
Time resolution is 1 ps
Time: 0 | ir_out1: x | ir_out2: x
Time: 2419972000 | ir_out1: 0 | ir_out2: 0
Time: 2433124000 | ir_out1: 1 | ir_out2: 1
Time: 2446276000 | ir_out1: 0 | ir_out2: 0
Time: 2459428000 | ir_out1: 1 | ir_out2: 1
Time: 2472580000 | ir_out1: 0 | ir_out2: 0
Time: 2485732000 | ir_out1: 1 | ir_out2: 1
Time: 2498884000 | ir_out1: 0 | ir_out2: 0
Time: 2512036000 | ir_out1: 1 | ir_out2: 1
Time: 2525188000 | ir_out1: 0 | ir_out2: 0
Time: 2538340000 | ir_out1: 1 | ir_out2: 1
Time: 2551492000 | ir_out1: 0 | ir_out2: 0
Time: 2564644000 | ir_out1: 1 | ir_out2: 1
Time: 2577796000 | ir_out1: 0 | ir_out2: 0
Time: 2590948000 | ir_out1: 1 | ir_out2: 1
Time: 2604100000 | ir_out1: 0 | ir_out2: 0
Time: 2617252000 | ir_out1: 1 | ir_out2: 1
Time: 2630404000 | ir_out1: 0 | ir_out2: 0
Time: 2643556000 | ir_out1: 1 | ir_out2: 1
Time: 2656708000 | ir_out1: 0 | ir_out2: 0
Time: 2669860000 | ir_out1: 1 | ir_out2: 1
Time: 2683012000 | ir_out1: 0 | ir_out2: 0
Time: 2696164000 | ir_out1: 1 | ir_out2: 1
Time: 2709316000 | ir_out1: 0 | ir_out2: 0
Time: 2722468000 | ir_out1: 1 | ir_out2: 1
Time: 2735620000 | ir_out1: 0 | ir_out2: 0
Time: 2748772000 | ir_out1: 1 | ir_out2: 1
Time: 2761924000 | ir_out1: 0 | ir_out2: 0
Time: 2775076000 | ir_out1: 1 | ir_out2: 1
Time: 2788228000 | ir_out1: 0 | ir_out2: 0
Time: 2801380000 | ir_out1: 1 | ir_out2: 1
Time: 2814532000 | ir_out1: 0 | ir_out2: 0
Time: 2827684000 | ir_out1: 1 | ir_out2: 1
Time: 2840836000 | ir_out1: 0 | ir_out2: 0
Time: 2853988000 | ir_out1: 1 | ir_out2: 1
Time: 2867140000 | ir_out1: 0 | ir_out2: 0
Time: 2880292000 | ir_out1: 1 | ir_out2: 1
Time: 2893444000 | ir_out1: 0 | ir_out2: 0
Time: 2906596000 | ir_out1: 1 | ir_out2: 1
Time: 2919748000 | ir_out1: 0 | ir_out2: 0
Time: 2932900000 | ir_out1: 1 | ir_out2: 1
Time: 2946052000 | ir_out1: 0 | ir_out2: 0
Time: 2959204000 | ir_out1: 1 | ir_out2: 1
Time: 2972356000 | ir_out1: 0 | ir_out2: 0
Time: 2985508000 | ir_out1: 1 | ir_out2: 1
Time: 2998660000 | ir_out1: 0 | ir_out2: 0
Time: 3011812000 | ir_out1: 1 | ir_out2: 1
Time: 3024964000 | ir_out1: 0 | ir_out2: 0
Time: 3038116000 | ir_out1: 1 | ir_out2: 1
Time: 3051268000 | ir_out1: 0 | ir_out2: 0
Time: 3064420000 | ir_out1: 1 | ir_out2: 1
Time: 3077572000 | ir_out1: 0 | ir_out2: 0
Time: 3090724000 | ir_out1: 1 | ir_out2: 1
Time: 3103876000 | ir_out1: 0 | ir_out2: 0
Time: 3117028000 | ir_out1: 1 | ir_out2: 1
Time: 3130180000 | ir_out1: 0 | ir_out2: 0
Time: 3143332000 | ir_out1: 1 | ir_out2: 1
Time: 3156484000 | ir_out1: 0 | ir_out2: 0
Time: 3169636000 | ir_out1: 1 | ir_out2: 1
Time: 3182788000 | ir_out1: 0 | ir_out2: 0
Time: 3195940000 | ir_out1: 1 | ir_out2: 1
Time: 3209092000 | ir_out1: 0 | ir_out2: 0
Time: 3222244000 | ir_out1: 1 | ir_out2: 1
Time: 3235396000 | ir_out1: 0 | ir_out2: 0
Time: 3248548000 | ir_out1: 1 | ir_out2: 1
Time: 3261700000 | ir_out1: 0 | ir_out2: 0
Time: 3274852000 | ir_out1: 1 | ir_out2: 1
Time: 3288004000 | ir_out1: 0 | ir_out2: 0
Time: 3301156000 | ir_out1: 1 | ir_out2: 1
Time: 3314308000 | ir_out1: 0 | ir_out2: 0
Time: 3327460000 | ir_out1: 1 | ir_out2: 1
Time: 3340612000 | ir_out1: 0 | ir_out2: 0
Time: 3353764000 | ir_out1: 1 | ir_out2: 1
Time: 3366916000 | ir_out1: 0 | ir_out2: 0
Time: 3380068000 | ir_out1: 1 | ir_out2: 1
Time: 3393220000 | ir_out1: 0 | ir_out2: 0
Time: 3406372000 | ir_out1: 1 | ir_out2: 1
Time: 3419524000 | ir_out1: 0 | ir_out2: 0
Time: 3432676000 | ir_out1: 1 | ir_out2: 1
